nom,dernier,variation_jour,type_extreme,niveau_reference,plus_bas_an,plus_haut_an,timestamp
74SOFTWARE,"39,90","+0,76%",PLUS HAUT,39.9,"39,50","39,90",2025-08-22 18:44:59
AB SCIENCE,"1,29","-0,46%",PLUS BAS,1.29,"1,29","1,31",2025-08-22 18:44:59
ANTIN INFRASTRUCTURE PARTNERS,"11,72","+6,74%",PLUS HAUT,11.72,"10,96","11,72",2025-08-22 18:44:59
AYVENS,"10,08","+1,82%",PLUS HAUT,10.08,"9,87","10,08",2025-08-22 18:44:59
BUREAU VERITAS,"27,22","+0,74%",PLUS HAUT,27.22,"26,94","27,22",2025-08-22 18:44:59
COFACE,"16,78","-0,42%",PLUS BAS,16.78,"16,78","16,90",2025-08-22 18:44:59
